,0
94,sd_sent_Adjustment_angle
95,sd_sent_Adjustment_capability
96,sd_sent_Adjustment_capacity
97,sd_sent_Adjustment_ease
98,sd_sent_Adjustment_level
99,sd_sent_Adjustment_options
100,sd_sent_Adjustment_range
101,sd_sent_Adorability
102,sd_sent_Adventure_mode
103,sd_sent_Adventure_scope
104,sd_sent_Advertising
105,sd_sent_Advice
106,sd_sent_Aesthetic
107,sd_sent_Aesthetic_appeal
108,sd_sent_Aesthetic_design
109,sd_sent_Aesthetic_value
110,sd_sent_Aesthetically
111,sd_sent_Aesthetically_pleasing
112,sd_sent_Aesthetics
113,sd_sent_Affordability
114,sd_sent_Age_range
115,sd_sent_Ages
116,sd_sent_Ai_examples
117,sd_sent_Ai_feature
118,sd_sent_Ai_features
119,sd_sent_Ai_tracking
120,sd_sent_Ai_tracking_functionality
121,sd_sent_Aiming
122,sd_sent_Aiming_ability
123,sd_sent_Aiming_accuracy
124,sd_sent_Aiming_improvement
125,sd_sent_Aiming_mechanics
126,sd_sent_Air_bubble_size
127,sd_sent_Air_bubbles
128,sd_sent_Air_cooling
129,sd_sent_Air_flow
130,sd_sent_Airflow
131,sd_sent_Airplay
132,sd_sent_Alarm_clock
133,sd_sent_Alarm_clock_quality
134,sd_sent_Alarm_functionality
135,sd_sent_Alarm_quality
136,sd_sent_Alexa_compatibility
137,sd_sent_Alexa_functionality
138,sd_sent_Alexa_integration
139,sd_sent_Alignment
140,sd_sent_Alignment_issues
141,sd_sent_Aluminum_body
142,sd_sent_Amp_quality
143,sd_sent_Analog_triggers
144,sd_sent_Android_compatibility
145,sd_sent_Angle
146,sd_sent_Angle_adjustment
147,sd_sent_Angle_range
148,sd_sent_Animation_quality
149,sd_sent_Anime_content
150,sd_sent_Anime_quality
151,sd_sent_Antenna_performance
152,sd_sent_Antenna_power
153,sd_sent_Antenna_quality
154,sd_sent_Antishake_feature
155,sd_sent_Aperture
156,sd_sent_Aperture_settings
157,sd_sent_App_compatibility
158,sd_sent_App_control
159,sd_sent_App_downloads
160,sd_sent_App_functionality
161,sd_sent_App_integration
162,sd_sent_App_quality
163,sd_sent_App_selection
164,sd_sent_App_size
165,sd_sent_App_support
166,sd_sent_Appeal
167,sd_sent_Appearance
168,sd_sent_Apple_product
169,sd_sent_Apple_quality
170,sd_sent_Application
171,sd_sent_Architecture
172,sd_sent_Arithmetic_accuracy
173,sd_sent_Arm_length
174,sd_sent_Arrow_control
175,sd_sent_Art_display
176,sd_sent_Art_feature
177,sd_sent_Art_mode
178,sd_sent_Art_quality
179,sd_sent_Art_style
180,sd_sent_Assembly
181,sd_sent_Assembly_ease
182,sd_sent_Assembly_instructions
183,sd_sent_Assembly_quality
184,sd_sent_Assembly_time
185,sd_sent_Astronomy
186,sd_sent_Attachability
187,sd_sent_Attachment_capability
188,sd_sent_Attachment_ease
189,sd_sent_Attachment_options
190,sd_sent_Attachments
191,sd_sent_Attractive_design
192,sd_sent_Audio_clarity
193,sd_sent_Audio_pick_up
194,sd_sent_Audio_privacy
195,sd_sent_Audio_quality
196,sd_sent_Audio_settings
197,sd_sent_Authenticity
198,sd_sent_Autism_prevalence
199,sd_sent_Autism_spectrum
200,sd_sent_Auto_adjustment
201,sd_sent_Auto_control
202,sd_sent_Auto_focus
203,sd_sent_Auto_function
204,sd_sent_Auto_mode
205,sd_sent_Auto_shut_off
206,sd_sent_Auto_tracking
207,sd_sent_Auto_wakeup_feature
208,sd_sent_Autofocus
209,sd_sent_Autooff
210,sd_sent_Autoswitch
211,sd_sent_Autofocus_accuracy
212,sd_sent_Autofocus_capability
213,sd_sent_Autofocus_feature
214,sd_sent_Autofocus_quality
215,sd_sent_Autofocus_speed
216,sd_sent_Automatic_settings
217,sd_sent_Aviator_wire
218,sd_sent_Baby_protection
219,sd_sent_Baby_safety
220,sd_sent_Back_cover
221,sd_sent_Backlight
222,sd_sent_Backlighting
223,sd_sent_Backpack_capacity
224,sd_sent_Backpack_functionality
225,sd_sent_Backpack_size
226,sd_sent_Bag_durability
227,sd_sent_Bag_quality
228,sd_sent_Bag_size
229,sd_sent_Balance
230,sd_sent_Ball_movement
231,sd_sent_Band_looseness
232,sd_sent_Band_quality
233,sd_sent_Band_size
234,sd_sent_Band_thickness
235,sd_sent_Base_quality
236,sd_sent_Bass_control
237,sd_sent_Bass_quality
238,sd_sent_Bathroom_use
239,sd_sent_Battery_capacity
240,sd_sent_Battery_charge
241,sd_sent_Battery_compartment_access
242,sd_sent_Battery_condition
243,sd_sent_Battery_door_lock
244,sd_sent_Battery_fit
245,sd_sent_Battery_health
246,sd_sent_Battery_length
247,sd_sent_Battery_life
248,sd_sent_Battery_pack
249,sd_sent_Battery_percentage
250,sd_sent_Battery_power
251,sd_sent_Battery_quality
252,sd_sent_Battery_replacement
253,sd_sent_Battery_size
254,sd_sent_Beauty
255,sd_sent_Bedroom_size
256,sd_sent_Beginner_friendly
257,sd_sent_Beginner_level
258,sd_sent_Beginnerfriendly
259,sd_sent_Beginners
260,sd_sent_Bendability
261,sd_sent_Bezel_difficulty
262,sd_sent_Bezel_rotation
263,sd_sent_Bible_verses
264,sd_sent_Birding_scope
265,sd_sent_Blackness
266,sd_sent_Blackouts
267,sd_sent_Blemish_resistance
268,sd_sent_Blend
269,sd_sent_Bling
270,sd_sent_Blinking_light
271,sd_sent_Blood_oxygen_monitoring
272,sd_sent_Blood_pressure
273,sd_sent_Bluetooth
274,sd_sent_Bluetooth_capability
275,sd_sent_Bluetooth_compatibility
276,sd_sent_Bluetooth_connectivity
277,sd_sent_Bluetooth_functionality
278,sd_sent_Bluetooth_quality
279,sd_sent_Bluetooth_range
280,sd_sent_Blur_control
281,sd_sent_Blur_rate
282,sd_sent_Blurry_text
283,sd_sent_Bokeh_effect
284,sd_sent_Bolt_strength
285,sd_sent_Bone_conduction_technology
286,sd_sent_Book_content
287,sd_sent_Book_feel
288,sd_sent_Book_for_parents
289,sd_sent_Book_lovers
290,sd_sent_Book_quality
291,sd_sent_Book_series
292,sd_sent_Bookmarks
293,sd_sent_Box_condition
294,sd_sent_Box_quality
295,sd_sent_Braiding
296,sd_sent_Brake_performance
297,sd_sent_Brand
298,sd_sent_Brand_new
299,sd_sent_Brand_new_condition
300,sd_sent_Brand_newness
301,sd_sent_Break_rate
302,sd_sent_Breakability
303,sd_sent_Breakage_rate
304,sd_sent_Breathable
305,sd_sent_Brightness
306,sd_sent_Brightness_adjustment
307,sd_sent_Brightness_control
308,sd_sent_Brightness_settings
309,sd_sent_Bristle_quality
310,sd_sent_Browser_compatibility
311,sd_sent_Bubble_level
312,sd_sent_Bubble_presence
313,sd_sent_Bubble_prevention
314,sd_sent_Bubble_removal
315,sd_sent_Bubble_size
316,sd_sent_Bubbles
317,sd_sent_Buckle_closure
318,sd_sent_Buckle_quality
319,sd_sent_Buckle_tightness
320,sd_sent_Budget
321,sd_sent_Bugs
322,sd_sent_Build_in_level
323,sd_sent_Build_quality
324,sd_sent_Build_weight
325,sd_sent_Buildin_cable
326,sd_sent_Buildin_cables
327,sd_sent_Buildin_heat_sink
328,sd_sent_Builtin_dvd_player
329,sd_sent_Bulkiness
330,sd_sent_Bumper_quality
331,sd_sent_Bundle_quality
332,sd_sent_Bundle_value
333,sd_sent_Bundled_game
334,sd_sent_Burnin
335,sd_sent_Business_use
336,sd_sent_Button_accuracy
337,sd_sent_Button_closure
338,sd_sent_Button_control
339,sd_sent_Button_design
340,sd_sent_Button_ease
341,sd_sent_Button_feel
342,sd_sent_Button_functionality
343,sd_sent_Button_layout
344,sd_sent_Button_placement
345,sd_sent_Button_quietness
346,sd_sent_Button_response
347,sd_sent_Button_responsiveness
348,sd_sent_Button_size
349,sd_sent_Button_speed
350,sd_sent_Button_stickiness
351,sd_sent_Buttons
352,sd_sent_Buttons_accuracy
353,sd_sent_Buttons_actuation
354,sd_sent_Buttons_control
355,sd_sent_Buttons_customization
356,sd_sent_Buttons_design
357,sd_sent_Buttons_difficulty
358,sd_sent_Buttons_difficulty_to_press
359,sd_sent_Buttons_ease
360,sd_sent_Buttons_ease_of_press
361,sd_sent_Buttons_ease_of_use
362,sd_sent_Buttons_feel
363,sd_sent_Buttons_feel_good
364,sd_sent_Buttons_feel_nice
365,sd_sent_Buttons_flexibility
366,sd_sent_Buttons_functionality
367,sd_sent_Buttons_layout
368,sd_sent_Buttons_placement
369,sd_sent_Buttons_programability
370,sd_sent_Buttons_quality
371,sd_sent_Buttons_responsiveness
372,sd_sent_Buttons_sensitivity
373,sd_sent_Buttons_size
374,sd_sent_Buttons_stability
375,sd_sent_Buttons_stick
376,sd_sent_Buttons_stickiness
377,sd_sent_Buttons_thickness
378,sd_sent_Cabinet_fit
379,sd_sent_Cable_clutter
380,sd_sent_Cable_coiled_design
381,sd_sent_Cable_compatibility
382,sd_sent_Cable_connectivity
383,sd_sent_Cable_durability
384,sd_sent_Cable_flow
385,sd_sent_Cable_functionality
386,sd_sent_Cable_included
387,sd_sent_Cable_jack
388,sd_sent_Cable_kit
389,sd_sent_Cable_length
390,sd_sent_Cable_management
391,sd_sent_Cable_quality
392,sd_sent_Cable_rigidity
393,sd_sent_Cable_shielding
394,sd_sent_Cable_size
395,sd_sent_Cable_stability
396,sd_sent_Cable_strength
397,sd_sent_Cable_thickness
398,sd_sent_Cable_variety
399,sd_sent_Calculator
400,sd_sent_Calculator_function
401,sd_sent_Calculator_functionality
402,sd_sent_Calculator_quality
403,sd_sent_Calculator_size
404,sd_sent_Calculator_use
405,sd_sent_Calculus
406,sd_sent_Calibration
407,sd_sent_Calibration_capability
408,sd_sent_Calibration_difficulty
409,sd_sent_Call_answering_capability
410,sd_sent_Call_clarity
411,sd_sent_Call_quality
412,sd_sent_Calming_effect
413,sd_sent_Camera_angle
414,sd_sent_Camera_blend
415,sd_sent_Camera_button_functionality
416,sd_sent_Camera_capability
417,sd_sent_Camera_capacity
418,sd_sent_Camera_case
419,sd_sent_Camera_cleaning
420,sd_sent_Camera_condition
421,sd_sent_Camera_cover
422,sd_sent_Camera_coverage
423,sd_sent_Camera_cutout
424,sd_sent_Camera_damage
425,sd_sent_Camera_dryness
426,sd_sent_Camera_durability
427,sd_sent_Camera_features
428,sd_sent_Camera_fit
429,sd_sent_Camera_for_beginners
430,sd_sent_Camera_for_kids
431,sd_sent_Camera_functionality
432,sd_sent_Camera_gear
433,sd_sent_Camera_grip
434,sd_sent_Camera_instructions
435,sd_sent_Camera_lifespan
436,sd_sent_Camera_location
437,sd_sent_Camera_maintenance
438,sd_sent_Camera_options
439,sd_sent_Camera_performance
440,sd_sent_Camera_piece_looseness
441,sd_sent_Camera_positioning
442,sd_sent_Camera_protection
443,sd_sent_Camera_quality
444,sd_sent_Camera_safety
445,sd_sent_Camera_secure
446,sd_sent_Camera_security
447,sd_sent_Camera_settings
448,sd_sent_Camera_size
449,sd_sent_Camera_slip
450,sd_sent_Camera_speed
451,sd_sent_Camera_strap_quality
452,sd_sent_Camera_support
453,sd_sent_Camera_temperature
454,sd_sent_Camera_tracking
455,sd_sent_Camera_visibility
456,sd_sent_Camera_weight
457,sd_sent_Campaign_duration
458,sd_sent_Cap_lock_indicator_light
459,sd_sent_Capacity
460,sd_sent_Caps_lock
461,sd_sent_Capture_capability
462,sd_sent_Car_charger
463,sd_sent_Car_customization
464,sd_sent_Car_performance
465,sd_sent_Car_selection
466,sd_sent_Carbon_fiber_material
467,sd_sent_Card_capacity
468,sd_sent_Card_design
469,sd_sent_Card_hold
470,sd_sent_Card_holder
471,sd_sent_Card_quality
472,sd_sent_Card_retention
473,sd_sent_Card_security
474,sd_sent_Card_slot
475,sd_sent_Card_slot_capacity
476,sd_sent_Card_slots
477,sd_sent_Card_space
478,sd_sent_Card_storage
479,sd_sent_Card_type
480,sd_sent_Carry_capacity
481,sd_sent_Carry_case
482,sd_sent_Carry_handle
483,sd_sent_Carryability
484,sd_sent_Case
485,sd_sent_Case_closure
486,sd_sent_Case_protection
487,sd_sent_Case_quality
488,sd_sent_Case_size
489,sd_sent_Cellular_capability
490,sd_sent_Cellular_connectivity
491,sd_sent_Cellular_performance
492,sd_sent_Cellular_phone_quality
493,sd_sent_Cellular_reception
494,sd_sent_Challenge_level
495,sd_sent_Channel_capacity
496,sd_sent_Channel_count
497,sd_sent_Channel_selection
498,sd_sent_Channels
499,sd_sent_Character_creation
500,sd_sent_Character_customization
501,sd_sent_Character_depth
502,sd_sent_Character_development
503,sd_sent_Character_power
504,sd_sent_Character_selection
505,sd_sent_Character_variety
506,sd_sent_Charge_capability
507,sd_sent_Charge_capacity
508,sd_sent_Charge_life
509,sd_sent_Charge_port_moisture
510,sd_sent_Charge_rate
511,sd_sent_Charge_retention
512,sd_sent_Charge_speed
513,sd_sent_Chargeability
514,sd_sent_Charger
515,sd_sent_Charger_cable
516,sd_sent_Charger_capability
517,sd_sent_Charger_capacity
518,sd_sent_Charger_compatibility
519,sd_sent_Charger_cord
520,sd_sent_Charger_functionality
521,sd_sent_Charger_included
522,sd_sent_Charger_port
523,sd_sent_Charger_quality
524,sd_sent_Charger_size
525,sd_sent_Charger_speed
526,sd_sent_Charges_quickly
527,sd_sent_Charges_well
528,sd_sent_Charging_ability
529,sd_sent_Charging_base
530,sd_sent_Charging_cable
531,sd_sent_Charging_capability
532,sd_sent_Charging_capacity
533,sd_sent_Charging_case
534,sd_sent_Charging_cord
535,sd_sent_Charging_cords
536,sd_sent_Charging_dock
537,sd_sent_Charging_efficiency
538,sd_sent_Charging_options
539,sd_sent_Charging_performance
540,sd_sent_Charging_port
541,sd_sent_Charging_port_size
542,sd_sent_Charging_ports
543,sd_sent_Charging_power
544,sd_sent_Charging_quality
545,sd_sent_Charging_rate
546,sd_sent_Charging_speed
547,sd_sent_Charging_station
548,sd_sent_Charging_time
549,sd_sent_Charm
550,sd_sent_Charm_quality
551,sd_sent_Charms
552,sd_sent_Chic
553,sd_sent_Child_friendly
554,sd_sent_Childfriendly
555,sd_sent_Chime_quality
556,sd_sent_Chip_depth
557,sd_sent_Chuckle_level
558,sd_sent_Circularity
559,sd_sent_Clackiness
560,sd_sent_Clamp_quality
561,sd_sent_Clamp_retention
562,sd_sent_Clamp_size
563,sd_sent_Clamp_strength
564,sd_sent_Clamping_ease
565,sd_sent_Clarity
566,sd_sent_Clasp_closure
567,sd_sent_Clasp_difficulty
568,sd_sent_Clasp_durability
569,sd_sent_Clasp_ease
570,sd_sent_Clasp_fit
571,sd_sent_Clasp_quality
572,sd_sent_Clasp_security
573,sd_sent_Clasp_stability
574,sd_sent_Classroom_use
575,sd_sent_Cleaning_ability
576,sd_sent_Cleaning_kit
577,sd_sent_Cleaning_power
578,sd_sent_Cleanliness
579,sd_sent_Clear_backing
580,sd_sent_Click_accuracy
581,sd_sent_Click_feature
582,sd_sent_Click_feel
583,sd_sent_Click_functionality
584,sd_sent_Click_issue
585,sd_sent_Click_noise
586,sd_sent_Click_quality
587,sd_sent_Click_quietness
588,sd_sent_Click_response
589,sd_sent_Click_responsiveness
590,sd_sent_Click_sound
591,sd_sent_Click_volume
592,sd_sent_Clickability
593,sd_sent_Clicker
594,sd_sent_Clickiness
595,sd_sent_Clicking_noise
596,sd_sent_Clicky
597,sd_sent_Clicky_buttons
598,sd_sent_Clicky_feel
599,sd_sent_Clicky_switches
600,sd_sent_Clickyness
601,sd_sent_Clip_durability
602,sd_sent_Clip_feature
603,sd_sent_Clip_hold
604,sd_sent_Clip_on
605,sd_sent_Clip_quality
606,sd_sent_Clip_safety
607,sd_sent_Clip_size
608,sd_sent_Clip_strength
609,sd_sent_Clock_feature
610,sd_sent_Closure
611,sd_sent_Closure_ability
612,sd_sent_Closure_quality
613,sd_sent_Closure_strength
614,sd_sent_Cloth_quality
615,sd_sent_Clutter_control
616,sd_sent_Coop_gameplay
617,sd_sent_Code_accuracy
618,sd_sent_Code_expiration
619,sd_sent_Code_functionality
620,sd_sent_Code_quality
621,sd_sent_Collection
622,sd_sent_Collection_quality
623,sd_sent_College_football
624,sd_sent_Color
625,sd_sent_Color_accuracy
626,sd_sent_Color_adjustment
627,sd_sent_Color_brightness
628,sd_sent_Color_change
629,sd_sent_Color_choice
630,sd_sent_Color_choices
631,sd_sent_Color_coding
632,sd_sent_Color_combo
633,sd_sent_Color_contrast
634,sd_sent_Color_control
635,sd_sent_Color_customization
636,sd_sent_Color_depth
637,sd_sent_Color_design
638,sd_sent_Color_development
639,sd_sent_Color_discoloration
640,sd_sent_Color_display
641,sd_sent_Color_effect
642,sd_sent_Color_fade
643,sd_sent_Color_filter
644,sd_sent_Color_gamut
645,sd_sent_Color_lighting
646,sd_sent_Color_match
647,sd_sent_Color_mode
648,sd_sent_Color_options
649,sd_sent_Color_palette
650,sd_sent_Color_patterns
651,sd_sent_Color_permanence
652,sd_sent_Color_quality
653,sd_sent_Color_range
654,sd_sent_Color_rendition
655,sd_sent_Color_reproduction
656,sd_sent_Color_saturation
657,sd_sent_Color_scheme
658,sd_sent_Color_selection
659,sd_sent_Color_separation
660,sd_sent_Color_settings
661,sd_sent_Color_stitching
662,sd_sent_Color_support
663,sd_sent_Color_temperature
664,sd_sent_Color_tone
665,sd_sent_Color_turnoff
666,sd_sent_Color_variation
667,sd_sent_Color_variety
668,sd_sent_Color_vibrancy
669,sd_sent_Combat
670,sd_sent_Combat_mechanics
671,sd_sent_Combat_quality
672,sd_sent_Comedy
673,sd_sent_Comes_with_supplies
674,sd_sent_Comfort
675,sd_sent_Communication
676,sd_sent_Compact_size
677,sd_sent_Compactness
678,sd_sent_Compartment_size
679,sd_sent_Compatibility
680,sd_sent_Compatibility_with_mobile_devices
681,sd_sent_Compliment
682,sd_sent_Concept
683,sd_sent_Condensation_resistance
684,sd_sent_Condition
685,sd_sent_Conference_call_functionality
686,sd_sent_Connection
687,sd_sent_Connection_ease
688,sd_sent_Connection_issues
689,sd_sent_Connection_length
690,sd_sent_Connection_looseness
691,sd_sent_Connection_quality
692,sd_sent_Connection_size
693,sd_sent_Connection_speed
694,sd_sent_Connection_stability
695,sd_sent_Connection_strength
696,sd_sent_Connection_time
697,sd_sent_Connection_type
698,sd_sent_Connectivity
699,sd_sent_Connectivity_issues
700,sd_sent_Connectivity_options
701,sd_sent_Connector_type
702,sd_sent_Console_damage
703,sd_sent_Console_quality
704,sd_sent_Content_creation
705,sd_sent_Content_creator
706,sd_sent_Content_quality
707,sd_sent_Contents
708,sd_sent_Control
709,sd_sent_Control_buttons
710,sd_sent_Control_capability
711,sd_sent_Control_device
712,sd_sent_Control_feature
713,sd_sent_Control_features
714,sd_sent_Control_knob
715,sd_sent_Control_mode
716,sd_sent_Control_options
717,sd_sent_Control_panel
718,sd_sent_Control_set
719,sd_sent_Control_unit_condition
720,sd_sent_Controllability
721,sd_sent_Controllable
722,sd_sent_Controller
723,sd_sent_Controller_compatibility
724,sd_sent_Controller_design
725,sd_sent_Controller_drift
726,sd_sent_Controller_functionality
727,sd_sent_Controller_holder
728,sd_sent_Controller_power
729,sd_sent_Controller_quality
730,sd_sent_Controller_reliability
731,sd_sent_Controller_size
732,sd_sent_Controller_slots
733,sd_sent_Controller_support
734,sd_sent_Controls
735,sd_sent_Convenience
736,sd_sent_Conversation_starter
737,sd_sent_Cooling
738,sd_sent_Cooling_ability
739,sd_sent_Cooling_capacity
740,sd_sent_Cooling_effect
741,sd_sent_Cooling_fan
742,sd_sent_Cooling_fan_quality
743,sd_sent_Cooling_power
744,sd_sent_Coolness
745,sd_sent_Cord
746,sd_sent_Cord_angle
747,sd_sent_Cord_cleaning
748,sd_sent_Cord_cleanliness
749,sd_sent_Cord_compatibility
750,sd_sent_Cord_connectivity
751,sd_sent_Cord_durability
752,sd_sent_Cord_functionality
753,sd_sent_Cord_hanging
754,sd_sent_Cord_hide
755,sd_sent_Cord_hider
756,sd_sent_Cord_hiding
757,sd_sent_Cord_hole
758,sd_sent_Cord_length
759,sd_sent_Cord_life
760,sd_sent_Cord_looseness
761,sd_sent_Cord_loss
762,sd_sent_Cord_management
763,sd_sent_Cord_protection
764,sd_sent_Cord_quality
765,sd_sent_Cord_replacement
766,sd_sent_Cord_retention
767,sd_sent_Cord_security
768,sd_sent_Cord_size
769,sd_sent_Cord_thickness
770,sd_sent_Cord_visibility
771,sd_sent_Cords
772,sd_sent_Cosmetic_condition
773,sd_sent_Countability
774,sd_sent_Country_of_origin
775,sd_sent_Country_restrictions
776,sd_sent_Cover
777,sd_sent_Cover_functionality
778,sd_sent_Cover_quality
779,sd_sent_Coverage
780,sd_sent_Cpu_speed
781,sd_sent_Crack_resistance
782,sd_sent_Cracking_ability
783,sd_sent_Craftsmanship
784,sd_sent_Creaminess
785,sd_sent_Creamy_feel
786,sd_sent_Creamy_texture
787,sd_sent_Creativity
788,sd_sent_Creepiness
789,sd_sent_Curve
790,sd_sent_Cushioning
791,sd_sent_Customization
792,sd_sent_Customization_features
793,sd_sent_Customization_functionality
794,sd_sent_Customization_options
795,sd_sent_Cut_accuracy
796,sd_sent_Cute
797,sd_sent_Cute_accent
798,sd_sent_Cute_camera
799,sd_sent_Cute_design
800,sd_sent_Cute_keyboard
801,sd_sent_Cute_phone_case
802,sd_sent_Cute_product
803,sd_sent_Cute_stickers
804,sd_sent_Cuteness
805,sd_sent_Damage_level
806,sd_sent_Damage_resistance
807,sd_sent_Data_connection
808,sd_sent_Data_integrity
809,sd_sent_Data_protection
810,sd_sent_Data_transfer
811,sd_sent_Data_transfer_speed
812,sd_sent_Data_usage
813,sd_sent_Deck_flex
814,sd_sent_Decor
815,sd_sent_Delay
816,sd_sent_Delay_rate
817,sd_sent_Description
818,sd_sent_Design
819,sd_sent_Design_options
820,sd_sent_Design_wear
821,sd_sent_Desk_size
822,sd_sent_Desk_space
823,sd_sent_Detail
824,sd_sent_Development
825,sd_sent_Device_connectivity
826,sd_sent_Device_protection
827,sd_sent_Device_quality
828,sd_sent_Device_recognizing
829,sd_sent_Device_support
830,sd_sent_Dial_movement
831,sd_sent_Dialogue_clarity
832,sd_sent_Difficulty_level
833,sd_sent_Difficulty_opening
834,sd_sent_Difficulty_to_open
835,sd_sent_Digital_stabilization
836,sd_sent_Dimmability
837,sd_sent_Dirt_removal
838,sd_sent_Disc_compatibility
839,sd_sent_Disc_condition
840,sd_sent_Disc_content
841,sd_sent_Disc_looseness
842,sd_sent_Disconnecting
843,sd_sent_Disconnecting_frequency
844,sd_sent_Disconnecting_time
845,sd_sent_Disconnects_frequently
846,sd_sent_Discreetness
847,sd_sent_Display
848,sd_sent_Display_art
849,sd_sent_Display_capability
850,sd_sent_Display_clarity
851,sd_sent_Display_color
852,sd_sent_Display_control
853,sd_sent_Display_ease
854,sd_sent_Display_orientation
855,sd_sent_Display_quality
856,sd_sent_Display_resolution
857,sd_sent_Display_size
858,sd_sent_Display_speed
859,sd_sent_Display_time
860,sd_sent_Divider_design
861,sd_sent_Dlc
862,sd_sent_Docking_capability
863,sd_sent_Docking_station
864,sd_sent_Doorbell
865,sd_sent_Doorbell_chime
866,sd_sent_Double_click_issue
867,sd_sent_Double_key_input
868,sd_sent_Download_capability
869,sd_sent_Download_speed
870,sd_sent_Download_time
871,sd_sent_Downloadable_content
872,sd_sent_Drag_racing
873,sd_sent_Draw_power
874,sd_sent_Dressiness
875,sd_sent_Drift
876,sd_sent_Drive_failure_rate
877,sd_sent_Drive_quality
878,sd_sent_Driving_simulator
879,sd_sent_Drop_protection
880,sd_sent_Dual_sim_support
881,sd_sent_Durability
882,sd_sent_Duration
883,sd_sent_Dust_issue
884,sd_sent_Dust_protection
885,sd_sent_Dust_removal
886,sd_sent_Dust_retention
887,sd_sent_Dust_visibility
888,sd_sent_Dvd_player
889,sd_sent_Dvd_player_functionality
890,sd_sent_Dvd_quality
891,sd_sent_Dynamic_range
892,sd_sent_Dynasty_mode
893,sd_sent_Ereader_quality
894,sd_sent_Ear_band
895,sd_sent_Ear_comfort
896,sd_sent_Ear_cups
897,sd_sent_Ear_cushions
898,sd_sent_Ear_design
899,sd_sent_Ear_fall
900,sd_sent_Ear_fit
901,sd_sent_Ear_grip
902,sd_sent_Ear_hook
903,sd_sent_Ear_hooks
904,sd_sent_Ear_pads_removal
905,sd_sent_Ear_piece_breakage
906,sd_sent_Ear_piece_retention
907,sd_sent_Ear_placement
908,sd_sent_Ear_protection
909,sd_sent_Ear_quality
910,sd_sent_Ear_replacement
911,sd_sent_Ear_retention
912,sd_sent_Ear_retractability
913,sd_sent_Ear_seal
914,sd_sent_Ear_secureness
915,sd_sent_Ear_security
916,sd_sent_Ear_stability
917,sd_sent_Ear_stay
918,sd_sent_Ear_support
919,sd_sent_Ear_tips
920,sd_sent_Earbud_fit
921,sd_sent_Earbud_functionality
922,sd_sent_Earbud_longevity
923,sd_sent_Earbud_quality
924,sd_sent_Earbud_retractability
925,sd_sent_Earbud_size
926,sd_sent_Earbud_stability
927,sd_sent_Earbud_stay
928,sd_sent_Earbuds
929,sd_sent_Earbuds_stay_in_place
930,sd_sent_Earbuds_stay_on
931,sd_sent_Earphone_quality
932,sd_sent_Earpiece_durability
933,sd_sent_Earpiece_quality
934,sd_sent_Earpiece_safety
935,sd_sent_Ease_of_access
936,sd_sent_Ease_of_adjustment
937,sd_sent_Ease_of_alignment
938,sd_sent_Ease_of_application
939,sd_sent_Ease_of_assembly
940,sd_sent_Ease_of_attach
941,sd_sent_Ease_of_attaching
942,sd_sent_Ease_of_attachment
943,sd_sent_Ease_of_breakage
944,sd_sent_Ease_of_breaking
945,sd_sent_Ease_of_carrying
